name,url,category,description
Invidious,https://invidious.io,Gaming / Entertainment,"Alternative front-end to YouTube"
JoystickTV,https://joystick.tv,Gaming / Entertainment,"Live streaming platform for gamers in the adult entertainment industry"
Neopoly GmbH,https://www.neopoly.de,Gaming / Entertainment,"Online games and services"
84codes,https://www.84codes.com,SaaS products,"We automate server configurations and maintenance so developers can focus on what they do best: build applications"
Blitline,https://www.blitline.com,SaaS products,"Online image processing"
BlockVue,https://blockvue.com,SaaS products,"Virtual and VR tours for commercial real estate"
Eat App,https://restaurant.eatapp.co,SaaS products,"Cloud-based applications for restaurants to increasing their efficiency and revenue through real-time restaurant reservations, automation and guest data management and CRM"
Errordeck,https://www.errordeck.com,SaaS products,"An error monitoring service to help you find and handle exceptions and errors"
GigSmart,https://gigsmart.com,SaaS products,"GigSmart is a staffing company that connects businesses looking for talent with individuals looking for work through their mobile and web applications"
HeyOnCall,https://heyoncall.com/,SaaS products,"On-call rotation scheduling, alerting, escalations, and monitoring for APIs, websites, cronjobs, SSL certificates, and more."
JSON Keeper,https://www.jsonkeeper.com,SaaS products,"Simple, static JSON hosting service for web and mobile apps"
Mailer To Go,https://mailertogo.com,SaaS products,"Heroku Add-on for simple email delivery"
Nabobil.no,https://nabobil.no,SaaS products,"Peer-to-peer car rental platform based in Norway"
NamingMatters,http://www.namingmatters.com/,SaaS products,"Trademark pre-clearance and search"
PlaceOS,https://place.technology/,SaaS products,"Connects everything in your office, tenancy or building to create a seamless user experience"
Rainforest QA,https://www.rainforestqa.com/,SaaS products,"QA at the Speed of Development, Intelligent Crowdtesting for Agile Teams"
Void,https://voidapp.co/,SaaS products,"Read + Retain in a distracted world"
Aveine,https://www.aveine.com/,Software Development,"The first smart wine aerator"
Bulutfon,https://www.bulutfon.com/,Software Development,"Cloud Voice & VOIP solution for Turkey"
Kemal,https://kemalcr.com/,Software Development,"Fast, Effective, Simple Web Framework"
Kinko booking,https://kinkobooking.com,Software Development,"A platform for managing real-time reservations in hotels and travel agencies."
Lechner Knowledge Center,https://lechnerkozpont.hu/en/oldal/cultural-heritage-protection,Software Development,"Cultural heritage inventory"
Level UP Solutions,https://www.levups.com,Software Development,"Web application design and development, in France, specialized in e-commerce"
LI-COR Biosciences,https://www.licor.com/,Software Development,"LI-COR Biosciences designs and manufactures instrument systems and research tools for environmental and biotechnology research"
Lunar,https://lunar.fyi/,Software Development,"Client adapter for monitor control over HTTP"
Manas,https://manas.tech/,Software Development,"We build unconventional software for unconventional [needs \| contexts \| ideas \| organizations]"
mstrap,https://mstrap.dev/,Software Development,"A development machine provisioning tool that will save you hours of manual setup and tweaking"
Nikola Corp,https://nikolamotor.com/,Software Development,"We build Hydrogen Powered Semi Trucks"
Pluto,https://github.com/phenopolis/pluto,Software Development,"A fast and convenient image processing library"
Protel,http://www.protel.com.tr/en,Software Development,"Changing the game in POS Systems and Hospitality"
Red Panthers,https://redpanthers.co,Software Development,"Web application design and development, from Kochi, India. Build POS (Point of Sale), system and local web api servers using Crystal & Kemal"
RedAnt,https://redant.com.au/,Software Development,"Sydney-based technical agency"
Wysdom,http://wysdom.co.uk/,Software Development,"Dental Practice Management Systems"
Diploid,http://www.diploid.com/,Bioinformatics,"Human genome interpretation"
Bright Security,https://brightsec.com/,Cyber Security,"Machine Learning powered advanced protocol fuzzer"
MESO,https://meso.design,Media Systems,"We design digital systems for communicative spaces"
APPUiO Cloud,https://docs.appuio.cloud/user/tutorials/getting-started/crystal-terminal.html,Communications & Networking,"APPUiO Cloud is OpenShift 4 Project as a Service, based on Switzerland, offering access to an OpenShift 4 in minutes."
BT Group,https://www.bt.com/about/bt,Communications & Networking,"Telecommunications company using Crystal for closed loop automation to manage UK networks"
Crunchy Bridge,https://www.crunchybridge.com/,Communication & Networking,"Fully managed PostgreSQL server in the cloud with a focus on DX"
Hipcall,https://www.hipcall.com/,Communication & Networking,"Hipcall helps sales and customer support teams. Hipcall provides business phone system, call center, sales management and customer service software."
Kagi,https://kagi.com/,Communication & Networking,"Premium search engine where everything on the page matters"
Universal Layer,https://ulayer.net/,Communication & Networking,"Web Hosting Provider"
xevIT networking,https://www.xevit.com/en,Communication & Networking,"Communication, Networking, Security"
Concentric,https://concentric.health,Misc,"Transforming how we make decisions about our health. The market leading digital consent to treatment application"
Kadalu Technologies,https://github.com/kadalu/moana,Misc,"An opinionated distributed Storage solution based on GlusterFS"
muse-dl,https://github.com/captn3m0/muse-dl,Misc,"An ebook downloader for Project MUSE, which stitches them together into a single-file using `pdftk`"
Nginx Shiny Exporter,https://github.com/serge-name/nginx-prometheus-shiny-exporter,Misc,"An exporter for Prometheus monitoring"
Phenopolis,https://www.phenopolis.com/,Misc,"Image processing and Big Data analysis for medical science"
