Name,Speaker picture,Theme,Start time,End time,Session type,Duration (minutes),Room,Talk title,Presenter,Abstract,Link
12:30-Welcome - Join us to go over the agenda and get ready for the conference,,,12:30,13:00,Setup,30,Main ,,,,
13:00-Yukihiro 'Matz' Matsumoto: Pushing boundaries,matz.jpeg (https://dl.airtable.com/.attachments/8d503149ec90a4d2e47e5c0cb2523761/2556e01f/matz.jpeg),,13:00,13:15,Short Talk,15,Main ,Pushing boundaries,Yukihiro 'Matz' Matsumoto,A talk on pushing the boundaries of language design.,matz
13:15-Beta Ziliani: Crystal 1.0 is out – What's next?,beta.jpeg (https://dl.airtable.com/.attachments/8951b30c0eebce0bf92fabec66d1677c/f20fa9bb/beta.jpeg),Language,13:15,13:45,Long Talk,30,Main ,Crystal 1.0 is out – What's next?,Beta Ziliani,"Taking a sneak peak at what the Crystal team has been producing, what we're working on, and at what is to come next.",beta-ziliani
13:45-Isaac Sloan: Crystal clear bitfield messaging – binary communication in Crystal,isaacsloan.png (https://dl.airtable.com/.attachments/d705483d0051c4a09c8d0c75b24404f8/2d4b1823/isaacsloan.png),Industry,13:45,14:15,Long Talk,30,Main ,Crystal clear bitfield messaging – binary communication in Crystal,Isaac Sloan,"I've had to do a lot of work during the last 5 years in decoding binary communication on vehicles. Despite the json driven development world we live in, a lot of messaging is still packed bit by bit for efficiency over slow buses, reliability in harsh conditions, or just because much of the world is still built on protocols from 35 years ago.
",elorest
14:15-Carl Hörberg: How to write efficient network applications,carl.jpeg (https://dl.airtable.com/.attachments/d3a27e4879c4218dc481f6afec4216dc/bd9ada14/carl.jpeg),Industry,14:15,14:45,Long Talk,30,Main ,How to write efficient network applications,Carl Hörberg,"While developing a new advanced message queue system, and several other network servers and clients Carl has gathered experience on do's and don'ts to squeeze out as much performance as possible.
",carlhoerberg
14:45-Break: Time to stretch a bit and replenish energies :-),,,14:45,15:15,Long Break,30,,,,,
15:15-Gábor Szabó: From 0 to Web site – a journey of a Crystal newbie,gabor.jpeg (https://dl.airtable.com/.attachments/539f9fd882d4748074a9dc1a1064f5bb/0ba4fcfd/gabor.jpeg),Getting started,15:15,15:30,Short Talk,15,Track 1,From 0 to Web site – a journey of a Crystal newbie,Gábor Szabó,"Gabor has been programming for more than 35 years. 25 years in Perl. 10 years in Python. 30 days in Crystal. This talk will explore how a person with a lot of experience in other languages, but 0 background in Crystal, can learn the language and build a web application in a month.",szabgab
15:15-Peter Schols: Saving lives with Crystal,peterschols.jpeg (https://dl.airtable.com/.attachments/8190c4c044c7518b71a71c09b57cffdb/3b55e177/peterschols.jpeg),Industry,15:15,15:45,Long Talk,30,Track 2,Saving lives with Crystal,Peter Schols,"In this talk, I will explore how Crystal contributes to genome diagnostics at Invitae, Diploid’s parent company, and why they chose it to build Moon, the first system that goes from genetic data to provisional diagnosis in minutes, saving patients hours or even days. We show how Crystal's syntax, type system and performance offer a unique edge compared to other, more popular programming languages.",peterschols
15:15-Bar Hofesh: Start 'Crystalizing' Your Security Testing,barhofesh.jpeg (https://dl.airtable.com/.attachments/31df0c9c2cccf76caf5dc3ec56222565/9044a474/barhofesh.jpeg),Workshop,15:15,15:45,Long Talk,30,Track 3,Start 'Crystalizing' Your Security Testing,Bar Hofesh,"A talk and after that, a hands-on workshop to get you up and scanning for security vulnerabilities. Intro to security testing automation and how you can achieve this. What DAST (Dynamic Application Security Testing) actually means and how it works. Fork the repo, sign up for a free scanning account and scan a CrystalLang vulnerable application. Discuss the results from the scanner, and how to fix some of what we found. How to integrate NexPloit scanning as part of your specs.",bararchy
15:30-Giorgi Kavrelishvili: Native GUI development using HTML-CSS-JS,giorgi.jpeg (https://dl.airtable.com/.attachments/aa53509569f979b0fc8db9f16c38be6f/b24971c1/giorgi.jpeg),Ecosystem,15:30,15:45,Short Talk,15,Track 1,Native GUI development using HTML-CSS-JS,Giorgi Kavrelishvili,"A talk about a project on which I have been working for more than 4-5 months. It is a GTK based shard that takes a custom dialect of HTML and translates it to native widgets. These widgets are linked together using the Duktape JavaScript engine. One could compile the entire project down to a single binary, giving incredible reload speeds from HTML to native GTK widgets.
",grkek
15:45-Stephen Dolan : Learn to Love HTML and Embrace the Lucky Way,stephen.jpeg (https://dl.airtable.com/.attachments/6c4113e1095028061b4ab47892bd21bd/d4fb9c4c/stephen.jpeg),Ecosystem,15:45,16:15,Long Talk,30,Track 1,Learn to Love HTML and Embrace the Lucky Way,Stephen Dolan ,"This talk expands upon the most-viewed LuckyCast I've ever created, about how, within a few days of working with the Lucky framework, I became as productive and confident in my markup as I was in the rest of my codebase. Hopefully, it will encourage any Crystal developers who are still writing web applications in other large frameworks to give Crystal (and Lucky) a chance!",stephendolan
15:45-Leandro Radusky: First steps and future directions of the Crystal bioinformatics ecosystem,leandro.jpeg (https://dl.airtable.com/.attachments/474883f1d4da5be0342b816680cd574f/b02385ef/leandro.jpeg),Scientific,15:45,16:15,Long Talk,30,Track 2,First steps and future directions of the Crystal bioinformatics ecosystem,Leandro Radusky,"In this talk, we are going to discuss how the design principles behind Crystal makes it an ideal language for the broad field of bioinformatics, from its simplicity and productivity to its performance, stressing out that a self-hosted language with these characteristics have the potential to become lingua franca for the discipline.",leandroradusky
16:15-Jeremy Woertink: Chipmunks and Unicorns,jeremy.jpeg (https://dl.airtable.com/.attachments/21c02541320d4c28d727da8eab5435e5/b392bed5/jeremy.jpeg),Ecosystem,16:15,16:30,Short Talk,15,Track 1,Chipmunks and Unicorns,Jeremy Woertink,"Creating a new language and new community in OSS is hard. Sometimes you want to be helpful to newcomers, but *how* you say things may end up making things worse. ""Chipmunks and Unicorns"" may not mean anything to the person asking for help, and this talk explores those mishaps around communication in the onboarding of newcomers.
",jwoertink
16:15-Todd Sundsted: Machine Learning with MXNet.cr,todd.jpeg (https://dl.airtable.com/.attachments/22930e670061b2842e0004fdae0a1eca/5002bb02/todd.jpeg),Scientific,16:15,16:30,Short Talk,15,Track 2,Machine Learning with MXNet.cr,Todd Sundsted,"MXNet is an Apache Software Foundation framework for machine learning/deep learning. MXNet.cr is bindings to the low-level MXNet library and a port/rewrite of the Gluon deep learning framework from Python to Crystal. This talk will include a brief introduction to deep learning, a short overview of the Gluon framework and lessons learned doing the port, and a demonstration using MXNet.cr to solve some simple classification problems.",toddsundsted
16:30-Kingsley: Axentro – Building a blockchain in Crystal,kingsley.jpeg (https://dl.airtable.com/.attachments/7da50d1b0f943121cef947ee10ed65f8/6f39b474/kingsley.jpeg),Ecosystem,16:30,17:00,Long Talk,30,Track 1,Axentro – Building a blockchain in Crystal,Kingsley,"The highs, lows, obstacles and successes of building a blockchain platform from scratch in Crystal.",Axentro
16:30-Ian Rash: Artistic Crystal,ian.jpeg (https://dl.airtable.com/.attachments/bc3e336f8834cdb8907cdade6434f011/bb6fb1fb/ian.jpeg),Scientific,16:30,16:45,Short Talk,15,Track 2,Artistic Crystal,Ian Rash,"A run down of different ways to make art with Crystal. Includes things like sound (via SunVox), graphics (via Celestine and StumpyBMP), pen plotters, and other fun things.",sol-vin
16:45-Romain Franceschini: Crafting simulations in Crystal,romain.jpeg (https://dl.airtable.com/.attachments/933f40fb6bf183a8b68e6b964caf4fe6/dc3a7d38/romain.jpeg),Scientific,16:45,17:00,Short Talk,15,Track 2,Crafting simulations in Crystal,Romain Franceschini,"In this talk, we will explore how you can use the Quartz shard for constructing simulations using a discrete-event abstraction in a bottom-up fashion. The modularity of the formalism it relies on helps you define models able to capture complex dynamic systems.",RomainFranceschini
17:00-Davor Ocelic: Crysterm – building console apps with Crystal,,Ecosystem,17:00,17:15,Short Talk,15,Track 1,Crysterm – building console apps with Crystal,Davor Ocelic,"A brief introduction to Crysterm, a toolkit for building console apps with Crystal.

The talk will cover basics of final app development as well as introduce Crysterm's structure & code to attract more developers & contributors.",crystallabs
17:00-KC Erb: Why I Choose Crystal for Science,kc.jpeg (https://dl.airtable.com/.attachments/7d487ba5e4109282eb18bc94ab68a9da/adf79bc1/kc.jpeg),Scientific,17:00,17:30,Long Talk,30,Track 2,Why I Choose Crystal for Science,KC Erb,I would really like to promote the idea that object-oriented design principles are under-utilized in the sciences. I believe that Crystal really strikes that perfect balance that the sciences need today between dynamic and performant. It's a shame that too few scientists are taught to reason about code abstractly in the same way as mathematical formulas but I think Crystal can change that.,KCErb
17:15-Nicolas Ganz: Performance Evaluation of Crystal,nicolas.jpeg (https://dl.airtable.com/.attachments/b6a93312c40bc6e80fb38069e1a657fb/1d0aa4ba/nicolas.jpeg),Performance,17:15,17:30,Short Talk,15,Track 1,Performance Evaluation of Crystal,Nicolas Ganz,"This talk aims to show performance comparisons of Crystal with Ruby, C and Go, by using different example programs that use specific parts used in real world applications, like iterative and recursive implementations of the Fibonacci sequence, reading and writing files, listening to sockets, as well as calling a method written in C.",
17:30-Break: Time to stretch a bit and replenish energies :-),,,17:30,18:00,Long Break,30,,,,,
18:00-Ary Borenszweig: Crystal on demand,ary.jpeg (https://dl.airtable.com/.attachments/176bce738e292a5169a5e5f73988055c/58e12a4a/ary.jpeg),Language,18:00,18:30,Long Talk,30,Main ,Crystal on demand,Ary Borenszweig,Crystal on demand: Crystal is not yet on demand. Let's make Crystal on demand!,asterite
